date,open,high,low,close,volume,Name
2/8/13,316.77,321.4899,316.73,320.72,403264,CMG
2/11/13,320.97,325.64,320.11,323.56,453220,CMG
2/12/13,322.39,326.99,322.05,322.51,353599,CMG
2/13/13,321.63,322.475,316.16,317.01,605608,CMG
2/14/13,316.28,319.08,314.44,317.72,483832,CMG
2/15/13,319.03,319.03,310.78,314.19,678216,CMG
2/19/13,314.4,317.58,311.32,313.05,530537,CMG
2/20/13,312.81,315.09,308,309.49,588188,CMG
2/21/13,307.17,313.73,307.17,308.13,639141,CMG
2/22/13,310.77,315.71,310.5,315.51,600207,CMG
2/25/13,316.51,318.32,311.18,311.21,512884,CMG
2/26/13,312.72,316.66,309.02,311.81,415128,CMG
2/27/13,312.48,318.71,311.96,316.21,330537,CMG
2/28/13,315.29,319.88,313.6,316.79,306386,CMG
3/1/13,316.75,319.82,314.501,319.74,300757,CMG
3/4/13,318.68,322.43,317.55,321.76,307211,CMG
3/5/13,323.3,332.49,322.5,329.24,520227,CMG
3/6/13,331.38,334.89,328.095,329,341441,CMG
3/7/13,331.38,331.38,325.08,327.5,330531,CMG
3/8/13,328.27,328.8799,320.6301,321.84,477790,CMG
3/11/13,320.08,327.117,319.39,322.42,363793,CMG
3/12/13,322.42,323.98,317,318.45,306360,CMG
3/13/13,319.41,322.38,319.33,322.38,358434,CMG
3/14/13,321.61,324.21,319.53,322.66,298613,CMG
3/15/13,320.95,323.98,318.54,321.35,310927,CMG
3/18/13,317.36,321.85,317.25,320.15,184722,CMG
3/19/13,320.1,324.53,315.5,317.23,408041,CMG
3/20/13,319.75,323.7,318.25,322.42,298839,CMG
3/21/13,321.99,322.52,318.33,319.42,425498,CMG
3/22/13,320.28,320.68,317.44,318.23,283465,CMG
3/25/13,318.7,321.7,316.04,316.77,315454,CMG
3/26/13,318.64,320.285,316.35,318.5,313704,CMG
3/27/13,318.49,320.85,316.34,320.59,215130,CMG
3/28/13,320.17,325.93,319.02,325.87,387865,CMG
4/1/13,327.42,328.47,320.0034,321.06,421993,CMG
4/2/13,321.91,323.6,321.64,323.09,240714,CMG
4/3/13,327.05,330,321.87,323.79,412947,CMG
4/4/13,323.63,326.34,321.86,323.16,415428,CMG
4/5/13,318.11,328.78,316.87,328,469919,CMG
4/8/13,327.01,337.92,326.8,337.5,730124,CMG
4/9/13,337.18,337.22,330.55,332.67,521355,CMG
4/10/13,334.18,350,334.18,343.55,947646,CMG
4/11/13,340,344.24,330.5,331.33,1458320,CMG
4/12/13,329.77,342,327.28,341.91,782502,CMG
4/15/13,349,349.88,337.03,337.17,892040,CMG
4/16/13,341.03,343.885,337.67,342.17,447834,CMG
4/17/13,339.59,343.78,337.435,339.94,340166,CMG
4/18/13,341.5,341.5,328.36,328.36,1010479,CMG
4/19/13,344.91,366.73,343.31,366.25,2747297,CMG
4/22/13,367,372.99,362.66,362.83,988994,CMG
4/23/13,363.63,365.75,358.14,361.27,713684,CMG
4/24/13,358.71,365.65,358.71,362.79,419143,CMG
4/25/13,363.3,365.86,361.14,362.85,302270,CMG
4/26/13,362.01,364.22,359.465,361.73,339766,CMG
4/29/13,362.18,367,359.52,363.59,276681,CMG
4/30/13,365.49,365.5099,360.71,363.19,373852,CMG
5/1/13,360.95,364.83,358.5,362.18,277869,CMG
5/2/13,361.68,369.32,361.62,365.2,363073,CMG
5/3/13,368.25,369.5,365.65,367.35,234034,CMG
5/6/13,367.45,376.27,367.45,373.98,496850,CMG
5/7/13,372.57,374.154,359,361.09,1009716,CMG
5/8/13,361.81,366.5,359.09,366.33,525572,CMG
5/9/13,363.95,372.98,363.65,367.45,834223,CMG
5/10/13,366.93,371.27,366.04,370.01,326412,CMG
5/13/13,369.88,370.6,366.12,367.51,241815,CMG
